,category_id,name,slug,price,link,image_link
19,4,Samsung Galaxy S21 Ultra Dual Sim Phantom Silver 12GB RAM 256GB 5G - International Version ,Samsung-Galaxy-S21-Ultra-Dual-Sim-Phantom-Silver-12GB-RAM-256GB-5G---International-Version,3395.0,https://www.noon.com/uae-en/galaxy-s21-ultra-dual-sim-phantom-silver-12gb-ram-256gb-5g-international-version/N43752032A/p?o=b24b1b30a9bacb2e,https://z.nooncdn.com/products/tr:n-t_240/v1611756010/N43752032A_1.jpg
20,4,Samsung Galaxy A12 Dual SIM Black 4GB RAM 128GB 4G LTE - Middle East Version ,Samsung-Galaxy-A12-Dual-SIM-Black-4GB-RAM-128GB-4G-LTE---Middle-East-Version,588.9,https://www.noon.com/uae-en/galaxy-a12-dual-sim-black-4gb-ram-128gb-4g-lte-middle-east-version/N43692696A/p?o=ac3dc2d282968ccf,https://z.nooncdn.com/products/tr:n-t_240/v1610871453/N43692696A_1.jpg
21,4,Samsung Galaxy A71 Dual SIM Prism Crush Silver 8GB RAM 128GB 4G LTE-UAE Version ,Samsung-Galaxy-A71-Dual-SIM-Prism-Crush-Silver-8GB-RAM-128GB-4G-LTE-UAE-Version,1329.0,https://www.noon.com/uae-en/galaxy-a71-dual-sim-prism-crush-silver-8gb-ram-128gb-4g-lte-uae-version/N33635421A/p?o=e64504e10c9e2d7b,https://z.nooncdn.com/products/tr:n-t_240/v1578638788/N33635421A_1.jpg
22,4,HUAWEI Mate 20 Dual SIM Black 6GB RAM 128GB 4G LTE ,HUAWEI-Mate-20-Dual-SIM-Black-6GB-RAM-128GB-4G-LTE,1299.0,https://www.noon.com/uae-en/mate-20-dual-sim-black-6gb-ram-128gb-4g-lte/N19139332A/p?o=cc1eb4c9303a522d,https://z.nooncdn.com/products/tr:n-t_240/v1540209465/N19139332A_1.jpg
23,4,Motorola Moto G 5G Plus Dual SIM Surfing Blue 8GB RAM 128GB 5G ,Motorola-Moto-G-5G-Plus-Dual-SIM-Surfing-Blue-8GB-RAM-128GB-5G,1059.0,https://www.noon.com/uae-en/moto-g-5g-plus-dual-sim-surfing-blue-8gb-ram-128gb-5g/N40475994A/p?o=bec2c5bf6708163b,https://z.nooncdn.com/products/tr:n-t_240/v1600071083/N40475994A_1.jpg
24,4,"Samsung Galaxy S20 Ultra Dual SIM Cosmic Gray 12GB RAM 128GB 5G, UAE Version ","Samsung-Galaxy-S20-Ultra-Dual-SIM-Cosmic-Gray-12GB-RAM-128GB-5G,-UAE-Version",2798.0,https://www.noon.com/uae-en/galaxy-s20-ultra-dual-sim-cosmic-gray-12gb-ram-128gb-5g-uae-version/N34273064A/p?o=c35c97da9096ffda,https://z.nooncdn.com/products/tr:n-t_240/v1589102071/N34273064A_1.jpg
25,4,OPPO A15 Dual SIM Dynamic Black 3GB RAM 32GB 4G LTE ,OPPO-A15-Dual-SIM-Dynamic-Black-3GB-RAM-32GB-4G-LTE,448.95,https://www.noon.com/uae-en/a15-dual-sim-dynamic-black-3gb-ram-32gb-4g-lte/N42376499A/p?o=a963f24751daab7e,https://z.nooncdn.com/products/tr:n-t_240/v1605695224/N42376499A_1.jpg
26,4,Samsung Galaxy S21 Ultra Dual SIM Phantom Black 12GB RAM 256GB 5G - Middle East Version ,Samsung-Galaxy-S21-Ultra-Dual-SIM-Phantom-Black-12GB-RAM-256GB-5G---Middle-East-Version,3509.0,https://www.noon.com/uae-en/galaxy-s21-ultra-dual-sim-phantom-black-12gb-ram-256gb-5g-middle-east-version/N43500468A/p?o=fd2effd29a581fae,https://z.nooncdn.com/products/tr:n-t_240/v1610367037/N43500468A_1.jpg
27,4,vivo X50 Dual SIM Frost Blue 8GB RAM 128GB 5G With Gift Items ,vivo-X50-Dual-SIM-Frost-Blue-8GB-RAM-128GB-5G-With-Gift-Items,2266.0,https://www.noon.com/uae-en/x50-dual-sim-frost-blue-8gb-ram-128gb-5g-with-gift-items/N39543310A/p?o=c3f4fad58c25ee9d,https://z.nooncdn.com/products/tr:n-t_240/v1601545962/N39543310A_1.jpg
28,4,Motorola One Fusion Dual SIM Deep Sapphire 4GB RAM 128GB  4G LTE ,Motorola-One-Fusion-Dual-SIM-Deep-Sapphire-4GB-RAM-128GB--4G-LTE,599.0,https://www.noon.com/uae-en/one-fusion-dual-sim-deep-sapphire-4gb-ram-128gb-4g-lte/N39567649A/p?o=e496cbfd94fcc84d,https://z.nooncdn.com/products/tr:n-t_240/v1605989049/N39567649A_1.jpg
